cod_tienda;id_ticket;id_articulo;precio;provincia;fecha
1;123;456;10,50;Valencia;01/01/2022
1;124;457;15,99;Valencia;02/01/2022
1;125;458;20,00;Valencia;03/01/2022
2;126;459;25,00;Madrid;04/01/2022
2;127;460;30,00;Madrid;05/01/2022
3;128;461;35,00;Barcelona;06/01/2022
3;129;462;40,50;Barcelona;07/01/2022
1;130;463;50,00;Valencia;01/01/2022
2;131;464;60,00;Madrid;01/01/2022
1;132;465;70,00;Valencia;02/01/2022
2;133;466;80,00;Madrid;03/01/2022
3;134;467;90,00;Barcelona;04/01/2022
1;135;468;100,00;Valencia;05/01/2022
2;136;469;110,00;Madrid;06/01/2022
3;137;470;120,00;Barcelona;07/01/2022
1;138;471;130,00;Valencia;08/01/2022
2;139;472;140,00;Madrid;09/01/2022
3;140;473;150,00;Barcelona;10/01/2022
1;141;474;160,00;Valencia;11/01/2022
2;142;475;170,00;Madrid;12/02/2022
3;143;476;180,00;Barcelona;13/01/2022
1;144;477;190,00;Valencia;14/01/2022
2;145;478;200,00;Madrid;15/02/2022
3;146;479;210,00;Barcelona;16/01/2022
1;147;480;220,00;Valencia;17/01/2022
2;148;481;230,00;Madrid;18/01/2022
3;149;482;240,00;Barcelona;19/02/2022
1;150;483;250,00;Valencia;20/01/2022
2;151;484;260,00;Madrid;21/02/2022
3;152;485;270,00;Barcelona;22/01/2022
1;153;486;280,00;Valencia;23/01/2022
2;154;487;290,00;Madrid;24/01/2022
3;155;488;300,00;Barcelona;25/02/2022
1;156;489;310,00;Valencia;26/01/2022
2;157;490;320,00;Madrid;27/01/2022
